file,title,word_count,proposed_tags,category,draft_if_short
2021-12-02-remember-to-tell-your-colleagues-that-you-appre.md,Remember to tell your colleagues that you appre...,54,team;remember;tell;appre,Leadership & Culture,no
2021-12-21-the-power-of-habit-from-i-hate-running-to-you-are.md,The power of habit: from \,1120,habit;power,Leadership & Culture,no
2021-12-21-this-year-i-culminated-a-process-in-which-i-hav.md,This year I culminated a process in which I hav...,106,process;year;culminated;which;hav,Engineering & Product,no
2021-12-23-2021-has-been-quite-a-year.md,2021 has been... quite a year 🤪,191,quite;year,General,no
2022-01-29-if-theres-something-that-i-hate-with-the-capi.md,If there's something that I HATE (with the capi...,250,there's;something;hate;capi,General,no
2022-02-18-interested-in-high-traffic-nodejs-projects-an.md,"Interested in high traffic node.js projects, an...",70,interested;high;traffic;node;projects,General,no
2022-02-23-nice-to-have-mickael-representing-our-engineeri.md,Nice to have Mickael representing our Engineeri...,114,mickael;representing;engineeri,General,no
2022-02-26-the-unfairness-the-lies-the-false-pretencesh.md,"The unfairness, the lies, the false pretences.H...",173,unfairness;lies;false;pretences,General,no
2022-03-08-at-the-edge-of-a-large-humanitarian-crisis-that.md,At the edge of a large humanitarian crisis that...,64,edge;large;humanitarian;crisis,General,no
2022-04-10-id-rather-interact-with-more-current-x-peopl.md,I'd rather interact with more \,211,i'd;rather;interact,General,no
2022-04-29-do-you-know-that-kind-of-online-profile-that-on.md,Do you know that kind of online profile that on...,202,kind;online;profile,General,no
2022-05-12-what-a-blast-this-event-is.md,What a blast this event is!,79,event;blast,Events & Community,no
2022-05-23-were-hiring-for-a-super-interesting-position.md,"We're hiring for a super interesting position, ...",166,hiring;we're;super;interesting,Career & Hiring,no
2022-06-23-really-exciting-to-get-this-validation-of-the-e.md,Really exciting to get this validation of the e...,63,exciting;get;validation,General,no
2022-06-29-investment-round-announcement-so-many-new-fri.md,Investment round announcement ➝ so many new fri...,49,investment;round;announcement;new;fri,General,no
2022-07-22-this-was-quite-a-blast-getting-so-many-colleag.md,This was quite a blast. Getting so many colleag...,114,quite;blast;getting;colleag,General,no
2022-09-30-a-very-interesting-and-unique-position-with-al.md,"A very interesting and unique position, with al...",56,hiring;interesting;unique,Career & Hiring,no
2022-11-03-i-love-working-in-multi-cultural-environments.md,"I love working in multi cultural environments, ...",369,working;multi;cultural;environments,General,no
2022-11-17-you-will-start-seeing-these-beauties-soon-at-th.md,You will start seeing these beauties soon at th...,78,start;seeing;beauties;soon,General,no
2022-11-20-being-able-to-define-something-makes-conversati.md,Being able to define something makes conversati...,368,define;something;makes;conversati,General,no
2022-11-27-this-weekend-ive-got-to-play-with-midjourneys.md,This weekend I've got to play with Midjourney's...,292,weekend;i've;got;play;midjourney's,General,no
2022-12-10-one-of-the-best-things-to-work-at-sumup-is-to-s.md,One of the best things to work at SumUp is to s...,213,sumup;best;work,Fintech & Business,no
2022-12-17-with-copenhagen-fully-covered-in-snow-and-ice-l.md,With Copenhagen fully covered in snow and ice l...,263,copenhagen;fully;covered;snow;ice,Work & Life,no
2023-01-02-interesting-to-see-how-a-piece-of-software-engi.md,Interesting to see how a piece of software engi...,195,software;interesting;see;piece;engi,Engineering & Product,no
2023-01-02-one-reflection-to-start-the-year-instead-of-se.md,One reflection to start the year: instead of se...,71,reflection;start;year;instead,General,no
2023-01-05-jodies-team-global-bank-is-really-global.md,"Jodie's team (Global Bank) is really global 🌏, ...",49,team;banking;jodie's;global,Leadership & Culture,no
2023-01-08-taking-some-time-off-and-resting-until-you-almo.md,Taking some time off and resting until you almo...,328,time;off;resting;until;almo,General,no
2023-01-18-one-of-the-chores-i-did-this-holiday-break-wa.md,One of the \,168,,General,no
2023-01-23-edited-as-this-is-not-coming-soon-but-yo.md,Edited✍️ - as this is not \,88,edited,General,no
2023-02-02-the-first-follower-is-an-underestimated-form-of.md,The first follower is an underestimated form of...,71,first;follower;underestimated;form,General,no
2023-02-12-dont-partner-with-cynics-and-pessimiststheir.md,Don’t partner with cynics and pessimists.Their ...,211,don;partner;cynics;pessimists,General,no
2023-02-19-genchi-genbutsu-go-and-see.md,Genchi Genbutsu: \,281,genchi;genbutsu,General,no
2023-02-23-with-the-surge-of-search-engines-we-had-the-ris.md,With the surge of Search Engines we had the ris...,88,surge;search;engines;ris,General,no
2023-03-05-if-i-wouldnt-already-be-working-with-jan-alth.md,If I wouldn't already be working with Jan (alth...,64,wouldn't;already;working;jan;alth,General,no
2023-03-08-breaking-sterotypes-one-business-at-a-time.md,"👏 breaking sterotypes, one business at a time!",7,business;breaking;sterotypes;time,General,yes
2023-03-11-reading-primal-leadership-there-has-been-a-yes.md,Reading Primal Leadership there has been a \,177,reading;leadership;primal,Leadership & Culture,no
2023-03-21-what-a-journey-rebuilding-a-technology-product.md,What a journey: rebuilding a technology product...,94,technology;product;journey;rebuilding,Engineering & Product,no
2023-03-22-while-one-could-think-why-celebrate-if-were-e.md,While one could think \,51,think,General,no
2023-03-24-or-if-you-were-luckier-be-the-leader-that-yo.md,Or if you were luckier... be the leader that yo...,44,leadership;luckier,Leadership & Culture,no
2023-03-27-interactions-like-this-really-make-my-day-to-da.md,Interactions like this really make my day to da...,62,interactions;like;day,General,no
