file,title,word_count,proposed_tags,category
2023-08-02-if-you-are-looking-for-a-new-role-in-multiple.md,If you are looking for a new role (in multiple ...,42,hiring;you;are;multiple;functions,Career & Hiring
2023-08-06-if-youre-looking-for-your-next-summer-read-m.md,If you're looking for your next summer read - m...,192,reading;you're;book;summer;process,Engineering & Product
2023-08-22-hey-vrienden-in-nederland-if-you-want-to.md,"Hey, vrienden in Nederland 🇳🇱 - if you want to ...",87,try;you;hey;vrienden;nederland,General
2023-09-09-really-looking-forward-to-this.md,Really looking forward to this! 🥳,80,through;world;online;tools;especially,General
2023-09-16-hackweek2023-thats-a-wrap.md,#hackweek2023 - that's a wrap!,211,that's;hackweek;wrap;it's;full,Events & Community
2023-09-18-our-hackweek2023-was-great-to-bond-and-networ.md,"Our #hackweek2023 was great to bond, and networ...",423,genchi;genbutsu;was;improvement;it's,General
2023-09-22-one-humbling-learning-for-me-working-in-finte.md,One (humbling) learning for me working in Finte...,65,humbling;learning;finte;fintech;innovations,Fintech & Business
2023-11-07-remember-put-your-mask-on-first-before-help.md,🛫 \,439,you;yourself;others;are;remember,General
2023-11-19-this.md,This.,126,roadmap;product;capacity;what's;technology,Engineering & Product
2023-11-19-thisthere-shouldnt-be-a-separate-engineerin.md,This.\,126,roadmap;product;capacity;what's;technology,Engineering & Product
2023-12-07-in-a-time-where-payments-get-more-expensive-i.md,💳 In a time where payments get more expensive i...,112,payments;time;where;expensive;denmark,Fintech & Business
2023-12-11-more-fuel-to-deliver-on-our-vision-to-create-a.md,More fuel to deliver on our vision: to create a...,65,fuel;deliver;vision;create;can,General
2023-12-17-ive-been-thinking-a-bit-lately-about-setting-a.md,I've been thinking a bit lately about setting a...,93,i've;thinking;lately;setting;incentives,General
2023-12-17-the-power-of-purposeful-incentives-shaping-behavio.md,The Power of Purposeful Incentives: Shaping Behaviors for Long-Term Success,547,you;incentives;are;how;can,General
2024-01-09-one-opportunity-of-a-kind.md,💥 One opportunity of a kind!,52,opportunity;kind;skilled;cross;functional,Career & Hiring
2024-01-17-stop-the-press-ok-now-that-you-have-stopped.md,STOP THE PRESS 🛑\,187,you;are;cool;sumup;copenhagen,Fintech & Business
2024-01-17-stop-the-press.md,STOP THE PRESS 🛑,187,you;are;cool;sumup;copenhagen,Fintech & Business
2024-02-14-the-job-itself-is-interesting-high-availabilit.md,The job itself is interesting (high availabilit...,40,hiring;itself;interesting;high;availabilit,Career & Hiring
2024-02-19-maybe-you-have-seen-the-sumup-logo-and-beauti.md,🇩🇰Maybe you have seen the SumUp logo and beauti...,84,sumup;you;seen;logo;beauti,Fintech & Business
2024-02-26-this.md,This.,56,right;channel;public;context;not,General
2024-02-26-thiswhen-a-conversation-reaches-by-dm-send-it.md,"This.When a conversation reaches by DM, send it...",56,conversation;reaches;send;right;channel,General
2024-02-29-engineering-managers-in-my-network-the-chance.md,Engineering Managers in my network - the chance...,63,engineering;managers;network;chance;hannah,Engineering & Product
2024-03-03-if-theres-a-mantra-that-the-teams-i-work-with.md,If there's a mantra that the teams I work with ...,108,there's;mantra;way;facts;decision,General
2024-03-03-making-explicit-the-implicit-exploring-parallel-un.md,Making explicit the implicit: Exploring parallel universes while creating alignment,892,you;are;assumptions;explicit;implicit,General
2024-03-26-this-was-a-nice-fun-talk-about-communication-du.md,This was a nice fun talk about Communication du...,95,was;fun;talk;communication;incidents,Leadership & Culture
2024-03-28-seizing-the-change-moments-of-change-are-perfe.md,Seizing the change: moments of change are perfe...,140,change;try;seizing;moments;are,General
2024-05-02-massive-news-from-sumup-as-massive-as-a-stack.md,Massive news from SumUp: as massive as a stack ...,137,massive;news;sumup;stack;being,Fintech & Business
2024-06-22-didactic-transparency.md,Didactic transparency,76,transparency;didactic;data;can;created,Engineering & Product
2024-06-22-sometimes-instead-of-reinventing-the-wheel.md,"💡 Sometimes, instead of reinventing the wheel -...",329,transparency;data;you;wheel;paper,Engineering & Product
2024-07-12-seneca-said-while-we-teach-we-learnit-was.md,"Seneca said, \",105,seneca;said;you;was;teach,General
